Evaluation_ID,Video_Filename,Track,Model_Name(Hidden),Prompt,Human_Subject_Consistency(1-5),Human_Background_Dynamics(1-5),Human_Prompt_Adherence(1-5),Human_Cut_Sharpness(1-5),Human_Overall_Quality(1-5),Notes_or_Amnesia_Observed(O/X)
Eval_011,Eval_011.mp4,Track M (Motion),StoryDiffusion,Panning slowly across A pirate ship in mountain lake | Zooming in rapidly on A pirate ship in mountain lake | Tracking low angle towards A pirate ship in mountain lake | Rotating 360 degrees around A pirate ship in mountain lake,,,,,,
Eval_012,Eval_012.mp4,Track S (Leap),CogVideoX,A robotic ballerina on snow mountain | A robotic ballerina at a carnival | A robotic ballerina in rainforest | A robotic ballerina in cathedral,,,,,,
Eval_013,Eval_013.mp4,Track M (Motion),AnimateDiff,Panning slowly across A medieval knight in courtyard | Zooming in rapidly on A medieval knight in courtyard | Tracking low angle towards A medieval knight in courtyard | Rotating 360 degrees around A medieval knight in courtyard,,,,,,
Eval_014,Eval_014.mp4,Track M (Motion),StoryDiffusion,Panning slowly across A sleek drone on lunar pad | Zooming in rapidly on A sleek drone on lunar pad | Tracking low angle towards A sleek drone on lunar pad | Rotating 360 degrees around A sleek drone on lunar pad,,,,,,
Eval_015,Eval_015.mp4,Track S (Leap),Mora,A Victorian lady in high-tech lab | A Victorian lady on desert planet | A Victorian lady underwater | A Victorian lady at a carnival,,,,,,
Eval_016,Eval_016.mp4,Track M (Motion),ModelScope,Panning slowly across A pirate ship in mountain lake | Zooming in rapidly on A pirate ship in mountain lake | Tracking low angle towards A pirate ship in mountain lake | Rotating 360 degrees around A pirate ship in mountain lake,,,,,,
Eval_017,Eval_017.mp4,Track M (Motion),LTX-Video,Panning slowly across A medieval knight in courtyard | Zooming in rapidly on A medieval knight in courtyard | Tracking low angle towards A medieval knight in courtyard | Rotating 360 degrees around A medieval knight in courtyard,,,,,,
Eval_018,Eval_018.mp4,Track M (Motion),AnimateDiff,Panning slowly across A pirate ship in mountain lake | Zooming in rapidly on A pirate ship in mountain lake | Tracking low angle towards A pirate ship in mountain lake | Rotating 360 degrees around A pirate ship in mountain lake,,,,,,
Eval_019,Eval_019.mp4,Track S (Leap),SVD,An obsidian dragon in rainforest | An obsidian dragon underwater | An obsidian dragon on desert planet | An obsidian dragon in high-tech lab,,,,,,
Eval_020,Eval_020.mp4,Track S (Leap),StoryDiffusion,A robotic ballerina in medieval village | A robotic ballerina on desert planet | A robotic ballerina in space | A robotic ballerina underwater,,,,,,
Eval_021,Eval_021.mp4,Track S (Leap),FreeNoise,A futuristic soldier in cathedral | A futuristic soldier on snow mountain | A futuristic soldier underwater | A futuristic soldier in medieval village,,,,,,
Eval_022,Eval_022.mp4,Track S (Leap),DirecT2V,A Victorian lady in high-tech lab | A Victorian lady on desert planet | A Victorian lady underwater | A Victorian lady at a carnival,,,,,,
Eval_023,Eval_023.mp4,Track S (Leap),DirecT2V,A robot gardener on snow mountain | A robot gardener in cyberpunk city | A robot gardener in medieval village | A robot gardener in high-tech lab,,,,,,
Eval_024,Eval_024.mp4,Track S (Leap),SVD,An obsidian dragon in rainforest | An obsidian dragon in cyberpunk city | An obsidian dragon underwater | An obsidian dragon at a carnival,,,,,,
Eval_025,Eval_025.mp4,Track S (Leap),SVD,An obsidian dragon on desert planet | An obsidian dragon in cyberpunk city | An obsidian dragon in high-tech lab | An obsidian dragon in medieval village,,,,,,
Eval_026,Eval_026.mp4,Track S (Leap),CogVideoX,A glowing neon jellyfish on snow mountain | A glowing neon jellyfish in rainforest | A glowing neon jellyfish in cyberpunk city | A glowing neon jellyfish in space,,,,,,
Eval_027,Eval_027.mp4,Track S (Leap),CogVideoX,A robotic ballerina underwater | A robotic ballerina in cathedral | A robotic ballerina in cyberpunk city | A robotic ballerina in rainforest,,,,,,
Eval_028,Eval_028.mp4,Track M (Motion),StoryDiffusion,Panning slowly across A red sports car on desert highway | Zooming in rapidly on A red sports car on desert highway | Tracking low angle towards A red sports car on desert highway | Rotating 360 degrees around A red sports car on desert highway,,,,,,
Eval_029,Eval_029.mp4,Track M (Motion),LTX-Video,Panning slowly across A hooded figure under waterfall | Zooming in rapidly on A hooded figure under waterfall | Tracking low angle towards A hooded figure under waterfall | Rotating 360 degrees around A hooded figure under waterfall,,,,,,
Eval_030,Eval_030.mp4,Track M (Motion),AnimateDiff,Panning slowly across A hooded figure under waterfall | Zooming in rapidly on A hooded figure under waterfall | Tracking low angle towards A hooded figure under waterfall | Rotating 360 degrees around A hooded figure under waterfall,,,,,,
